country_code,smr_key,criterion_id,family,criterion_name,mean_abs_rank_change,importance_score,pairs_compared,eligible_pair_count,small_n
AT,nuscale_voygr6,RI-05,RI,Distance to large population centres (>50 k),1.0,0.1667,6,6,False
AT,nuscale_voygr6,HI-03,HI,Toxic / gas releases,0.6667,0.1111,6,6,False
AT,nuscale_voygr6,NH-01,NH,Seismic ground motion (PGA),0.6667,0.1111,6,6,False
AT,nuscale_voygr6,NS-02,NS,Grid connection (detailed),0.6667,0.1111,6,6,False
AT,nuscale_voygr6,EP-02,EP,Evacuation routes (road network),0.3333,0.0555,6,6,False
AT,nuscale_voygr6,EP-03,EP,Physical-geography constraints,0.3333,0.0555,6,6,False
AT,nuscale_voygr6,HI-01,HI,Aircraft crash hazard,0.3333,0.0555,6,6,False
AT,nuscale_voygr6,HI-06,HI,Military installations,0.3333,0.0555,6,6,False
AT,nuscale_voygr6,NH-05,NH,Subsidence / karst / mining / oil & gas,0.3333,0.0555,6,6,False
AT,nuscale_voygr6,NH-06,NH,"Foundation conditions (bearing, bedrock, groundwater)",0.3333,0.0555,6,6,False
AT,nuscale_voygr6,NH-10,NH,Extreme winds,0.3333,0.0555,6,6,False
AT,nuscale_voygr6,NH-12,NH,Extreme temperatures,0.3333,0.0555,6,6,False
AT,nuscale_voygr6,NS-03,NS,Transport access (heavy haul road / rail / port),0.3333,0.0555,6,6,False
AT,nuscale_voygr6,NS-04,NS,Site topography / grading,0.3333,0.0555,6,6,False
AT,nuscale_voygr6,NS-05,NS,Land availability / ownership / zoning,0.3333,0.0555,6,6,False
AT,nuscale_voygr6,RI-04,RI,Population density (EPZ rings),0.3333,0.0555,6,6,False
AT,nuscale_voygr6,RI-06,RI,Population projections (60-yr design life),0.3333,0.0555,6,6,False
AT,nuscale_voygr6,BF-02,BF,Land / nuclear-island footprint,0.0,0.0,6,6,False
AT,nuscale_voygr6,EP-04,EP,"Special populations (hospitals, prisons, care homes)",0.0,0.0,6,6,False
AT,nuscale_voygr6,EP-05,EP,Concurrent-hazard impact on EP,0.0,0.0,6,6,False
AT,nuscale_voygr6,HI-02,HI,Industrial explosions (Seveso / IED),0.0,0.0,6,6,False
AT,nuscale_voygr6,HI-04,HI,External fires,0.0,0.0,6,6,False
